property_state,avg_legal_costs
,0.0
ND,-7.91
GU,-9.65
NE,-11.87
SD,-11.95
VI,-14.48
DC,-15.46
UT,-15.46
TX,-16.83
CO,-16.91
CA,-18.98
AK,-20.09
MT,-20.1
VT,-22.07
WY,-22.68
IA,-23.37
VA,-24.27
KS,-24.88
TN,-28.7
WA,-29.01
WI,-29.63
MO,-30.23
MA,-31.16
ID,-31.39
ME,-33.57
MS,-35.87
NC,-36.81
OR,-36.82
NH,-37.48
OK,-38.23
WV,-38.86
MN,-40.96
HI,-41.61
AL,-42.03
IN,-43.76
AR,-44.85
CT,-46.27
AZ,-47.23
MD,-47.59
NY,-48.51
NM,-49.0
GA,-49.19
KY,-51.41
DE,-54.73
PA,-56.59
SC,-57.2
MI,-57.7
RI,-59.07
NJ,-59.2
IL,-63.44
NV,-66.86
LA,-69.95
OH,-97.08
PR,-107.92
FL,-113.47
