property_state,avg_loss_severity
,0.0
GU,-0.001
DC,-0.001
AK,-0.001
ND,-0.001
CO,-0.001
UT,-0.002
TX,-0.002
WY,-0.002
NE,-0.002
SD,-0.002
MA,-0.002
MT,-0.002
VA,-0.002
CA,-0.003
HI,-0.003
VT,-0.003
OR,-0.003
WA,-0.003
MN,-0.004
DE,-0.004
KY,-0.004
LA,-0.004
VI,-0.004
OK,-0.004
KS,-0.004
NC,-0.004
WI,-0.004
ID,-0.004
IA,-0.004
TN,-0.004
NH,-0.004
MD,-0.005
NM,-0.005
MO,-0.005
ME,-0.005
PA,-0.005
AR,-0.005
CT,-0.005
NY,-0.005
AL,-0.006
SC,-0.006
RI,-0.007
IN,-0.007
GA,-0.007
NJ,-0.007
WV,-0.008
MS,-0.008
IL,-0.008
AZ,-0.01
OH,-0.01
PR,-0.01
MI,-0.012
FL,-0.013
NV,-0.013
