property_state,avg_property_management_cost
,0.0
ND,-22.81
GU,-23.95
DC,-31.3
NE,-35.14
UT,-43.56
SD,-43.79
CO,-45.27
MT,-48.16
VI,-48.64
CA,-50.7
WY,-51.72
VT,-56.65
AK,-58.78
TX,-60.32
IA,-63.56
VA,-64.14
MA,-64.96
KS,-71.21
HI,-71.34
WA,-76.78
ID,-80.26
TN,-80.94
ME,-83.86
WI,-84.13
MO,-84.53
OR,-87.58
NC,-94.21
NY,-100.27
KY,-100.43
OK,-105.04
IN,-107.6
NH,-108.2
DE,-110.16
WV,-111.37
AZ,-112.55
PA,-119.47
SC,-119.74
MD,-120.03
AR,-121.77
AL,-123.05
MN,-127.02
NJ,-128.64
RI,-128.83
NM,-133.53
MS,-134.18
CT,-134.25
LA,-138.94
GA,-143.14
NV,-152.04
IL,-158.91
MI,-177.75
OH,-192.0
PR,-230.83
FL,-237.41
