property_state,total_loans
CA,5803028
FL,2814477
TX,2799192
IL,2422046
OH,1858424
MI,1853710
NY,1638735
PA,1561931
NC,1467235
GA,1418407
VA,1392916
WA,1362854
AZ,1340092
MN,1331630
NJ,1311529
CO,1265091
IN,1174338
MA,1166939
WI,1145045
MD,1067271
MO,1054666
OR,827115
TN,793808
SC,683456
UT,674928
KY,669826
CT,495889
AL,488634
IA,477935
NV,475987
KS,414812
LA,371854
OK,365710
ID,312220
NH,280930
NE,278170
AR,271927
NM,230643
ME,201042
DE,173396
MT,169563
RI,154742
MS,152099
WV,145112
VT,138830
HI,137289
SD,105959
AK,104026
ND,96309
DC,93648
WY,79532
PR,60957
GU,8046
VI,2007
,1
