monthly_reporting_period,delinquency_rate
1999-04-01,100.0
1999-05-01,100.0
1999-06-01,100.0
1999-07-01,100.0
1999-08-01,100.0
1999-09-01,99.99863017451577
1999-10-01,99.99678162954142
1999-11-01,99.99357338278769
1999-12-01,99.9875826743815
2000-01-01,99.98062603829942
2000-02-01,99.97337573816857
2000-03-01,99.9682883644724
2000-04-01,99.96360140371978
2000-05-01,99.95805276249007
2000-06-01,99.9517292160965
2000-07-01,99.94342422658598
2000-08-01,99.94069586881562
2000-09-01,99.93354879920678
2000-10-01,99.92676215765981
2000-11-01,99.91789943309517
2000-12-01,99.90565549114524
2001-01-01,99.89437254780215
2001-02-01,99.88345087016765
2001-03-01,99.87871514828268
2001-04-01,99.88382724025696
2001-05-01,99.884122959463
2001-06-01,99.88232551999538
2001-07-01,99.88153901608084
2001-08-01,99.87270931732621
2001-09-01,99.86469113830664
2001-10-01,99.855768399329
2001-11-01,99.85115692640848
2001-12-01,99.84460906484688
2002-01-01,99.83873710376044
2002-02-01,99.83163135331067
2002-03-01,99.8333578096555
2002-04-01,99.8343791711851
2002-05-01,99.83706994977821
2002-06-01,99.83477736143654
2002-07-01,99.8307656890325
2002-08-01,99.8240236700123
2002-09-01,99.81657804520329
2002-10-01,99.81245941589239
2002-11-01,99.80438799023375
2002-12-01,99.79753667956145
2003-01-01,99.78005806326343
2003-02-01,99.77295736944762
2003-03-01,99.77399696548363
2003-04-01,99.77810715438972
2003-05-01,99.78606343844382
2003-06-01,99.78906837426823
2003-07-01,99.79153074264393
2003-08-01,99.79380769438175
2003-09-01,99.79027488783187
2003-10-01,99.79434729790198
2003-11-01,99.79176059301984
2003-12-01,99.78502285495465
2004-01-01,99.78567999554099
2004-02-01,99.78166659137757
2004-03-01,99.79214671525747
2004-04-01,99.80375803937608
2004-05-01,99.809447454036
2004-06-01,99.81390589258756
2004-07-01,99.81256267632128
2004-08-01,99.80862155475667
2004-09-01,99.8082836685646
2004-10-01,99.80372985491076
2004-11-01,99.79775603761033
2004-12-01,99.7961633293201
2005-01-01,99.7975381956401
2005-02-01,99.79285946800368
2005-03-01,99.8002479383538
2005-04-01,99.80879725936295
2005-05-01,99.8119914717781
2005-06-01,99.81594834407538
2005-07-01,99.81369544852872
2005-08-01,99.81036294129282
2005-09-01,99.80974917103175
2005-10-01,99.80327270936301
2005-11-01,99.79573567331978
2005-12-01,99.75331420402809
2006-01-01,99.73971201219011
2006-02-01,99.7425298725871
2006-03-01,99.76395973823104
2006-04-01,99.77790321013144
2006-05-01,99.78994902627946
2006-06-01,99.79945843038384
2006-07-01,99.80167707373231
2006-08-01,99.80372106342888
2006-09-01,99.80339549885015
2006-10-01,99.80063165386666
2006-11-01,99.79750110679942
2006-12-01,99.79178786705401
2007-01-01,99.78613584766954
2007-02-01,99.78371917062583
2007-03-01,99.79096506323125
2007-04-01,99.79718046314548
2007-05-01,99.79906437986493
2007-06-01,99.7976481229994
2007-07-01,99.79097200244995
2007-08-01,99.78363126726889
2007-09-01,99.7652715411033
2007-10-01,99.74847892967458
2007-11-01,99.73083774851906
2007-12-01,99.70064617946741
2008-01-01,99.6763658254804
2008-02-01,99.65747265153804
2008-03-01,99.6513598572205
2008-04-01,99.6411170336386
2008-05-01,99.62671472946442
2008-06-01,99.60291756829828
2008-07-01,99.5780214083865
2008-08-01,99.54955948338676
2008-09-01,99.50825891359848
2008-10-01,99.45347633797563
2008-11-01,99.3894038834404
2008-12-01,99.29382630723889
2009-01-01,99.18083093574478
2009-02-01,99.08464961851467
2009-03-01,98.99738762283461
2009-04-01,98.91180198968797
2009-05-01,98.81334254653453
2009-06-01,98.71474130869449
2009-07-01,98.61569149896535
2009-08-01,98.51446858709822
2009-09-01,98.39677414783091
2009-10-01,98.28689711356334
2009-11-01,98.15799791742658
2009-12-01,98.05039657804427
2010-01-01,97.95934857312372
2010-02-01,97.88047387996878
2010-03-01,97.87689411300815
2010-04-01,97.88397449449089
2010-05-01,97.88481842612134
2010-06-01,97.93088838518833
2010-07-01,97.95856820328179
2010-08-01,97.98466659606748
2010-09-01,98.01219775851368
2010-10-01,97.9893497759
2010-11-01,97.96385080824784
2010-12-01,97.94819961419826
2011-01-01,97.94604554520056
2011-02-01,97.93728232220259
2011-03-01,97.98578156132074
2011-04-01,98.01135992633729
2011-05-01,98.03212701029781
2011-06-01,98.04792951794266
2011-07-01,98.05187943433006
2011-08-01,98.05253351527082
2011-09-01,98.04082030420322
2011-10-01,98.0222923267659
2011-11-01,97.99637857993685
2011-12-01,97.96397317954886
2012-01-01,97.94128749260193
2012-02-01,97.92639232015676
2012-03-01,97.93318727236517
2012-04-01,97.93071546129718
2012-05-01,97.93534084912778
2012-06-01,97.97060673660528
2012-07-01,98.00249368039898
2012-08-01,98.0374452356136
2012-09-01,98.05101765508508
2012-10-01,98.07622396383012
2012-11-01,98.10338388256527
2012-12-01,98.10732241692632
2013-01-01,98.14000653464585
2013-02-01,98.1652371630407
2013-03-01,98.21582158804534
2013-04-01,98.27762296976339
2013-05-01,98.31397290324493
2013-06-01,98.35570310281086
2013-07-01,98.40686779183437
2013-08-01,98.44581136311653
2013-09-01,98.48695685361525
2013-10-01,98.53328994800307
2013-11-01,98.57889715161545
2013-12-01,98.60154772343495
2014-01-01,98.63617236361696
2014-02-01,98.65785237650219
2014-03-01,98.69480062079344
2014-04-01,98.73171130840336
2014-05-01,98.75949571198949
2014-06-01,98.78161116275751
2014-07-01,98.80746348555543
2014-08-01,98.827527724874
2014-09-01,98.85727550223396
2014-10-01,98.88054238364086
2014-11-01,98.8841924644097
2014-12-01,98.89725103603291
2015-01-01,98.90903180404804
2015-02-01,98.93262594968803
2015-03-01,98.96613000489035
2015-04-01,99.01321665870267
2015-05-01,99.04665237173433
2015-06-01,99.11276349135254
2015-07-01,99.13918920332269
2015-08-01,99.16079223340307
2015-09-01,99.1729177796603
2015-10-01,99.20158177196122
2015-11-01,99.2237334263621
2015-12-01,99.23741347410606
2016-01-01,99.23898251518122
2016-02-01,99.25241130064704
2016-03-01,99.30359141885074
2016-04-01,99.32206282603114
2016-05-01,99.3469047229402
2016-06-01,99.37783666151654
2016-07-01,99.38785353607093
2016-08-01,99.39971483587149
2016-09-01,99.41742678811278
2016-10-01,99.41797044075987
2016-11-01,99.41517992665992
2016-12-01,99.40889137828158
2017-01-01,99.43461601711421
2017-02-01,99.43649649667834
2017-03-01,99.45410935732296
2017-04-01,99.46426683737889
2017-05-01,99.47948850353963
2017-06-01,99.5099866605898
2017-07-01,99.51181899613009
2017-08-01,99.51773607834706
2017-09-01,99.51621142036522
2017-10-01,99.51424063520378
2017-11-01,99.50509697847835
2017-12-01,99.45267321615727
2018-01-01,99.3971352947275
2018-02-01,99.38813838741953
2018-03-01,99.41223217204957
2018-04-01,99.43016776654035
2018-05-01,99.46289231589716
2018-06-01,99.51154570013543
2018-07-01,99.54151257854687
2018-08-01,99.56895600292798
2018-09-01,99.57615688752509
2018-10-01,99.58582186059094
2018-11-01,99.59050432038673
2018-12-01,99.58676512578462
2019-01-01,99.60513478364028
2019-02-01,99.60096545055015
2019-03-01,99.61079366350597
2019-04-01,99.6209795487368
2019-05-01,99.61806015031175
2019-06-01,99.63253836243328
2019-07-01,99.64122472975335
2019-08-01,99.65047697219403
2019-09-01,99.64732560354474
2019-10-01,99.65006812182806
2019-11-01,99.64103925188081
2019-12-01,99.63826628388767
2020-01-01,99.6416949630477
2020-02-01,99.65219024010482
2020-03-01,99.65254139570288
2020-04-01,99.63697071346404
2020-05-01,99.60569882624115
2020-06-01,99.47643329004406
2020-07-01,98.31779165989845
2020-08-01,97.67167058122766
2020-09-01,97.65470460429357
2020-10-01,97.7641934613654
2020-11-01,97.84873058634308
2020-12-01,97.91569658753379
2021-01-01,97.97650348190943
2021-02-01,98.02253140486624
2021-03-01,98.15605472680032
2021-04-01,98.29391629912737
2021-05-01,98.39628995953483
2021-06-01,98.51396592646643
2021-07-01,98.62896279357815
2021-08-01,98.71847896318401
2021-09-01,98.85876604780724
2021-10-01,98.98383344462098
2021-11-01,99.06504418541395
2021-12-01,99.12608570655856
2022-01-01,99.20540110319143
2022-02-01,99.27140679211735
2022-03-01,99.33894380458013
2022-04-01,99.3904962050854
2022-05-01,99.42824130460957
2022-06-01,99.46983689683972
2022-07-01,99.49916616264684
2022-08-01,99.53127584946455
2022-09-01,99.55054400987794
2022-10-01,99.56302630983113
2022-11-01,99.56764424750297
2022-12-01,99.5701060806309
2023-01-01,99.56935382745479
2023-02-01,99.57256192021441
2023-03-01,99.58752477891872
2023-04-01,99.59693183868204
2023-05-01,99.61104558255698
2023-06-01,99.62384152866564
2023-07-01,99.62819020134447
2023-08-01,99.63700581211137
2023-09-01,99.63713127243865
2023-10-01,99.64211254188726
2023-11-01,99.63805240306323
2023-12-01,99.64521190910948
2024-01-01,99.64363808303406
2024-02-01,99.64468614093354
2024-03-01,99.65161672309048
2024-04-01,99.66322614276478
2024-05-01,99.67207797746275
2024-06-01,99.67145404697715
2024-07-01,99.66914322119176
2024-08-01,99.66416385260592
2024-09-01,99.64976503522134
2024-10-01,99.64363966925782
2024-11-01,99.62746103168442
2024-12-01,99.61310826877833
