vintage_year,monthly_reporting_period,avg_delinquency
1999,1999-04-01,1.0
1999,1999-05-01,1.0003959335297474
1999,1999-06-01,1.0036169566976934
1999,1999-07-01,1.0055910926835396
1999,1999-08-01,1.006591628850715
1999,1999-09-01,1.0069678456298001
1999,1999-10-01,1.0082249480032022
1999,1999-11-01,1.0094967040634582
1999,1999-12-01,1.0092095165003838
2000,2000-01-01,1.009491715724487
2000,2000-02-01,1.011208377767723
2000,2000-03-01,1.0090294709581225
2000,2000-04-01,1.0107151664774203
2000,2000-05-01,1.010067337002384
2000,2000-06-01,1.0108135906216762
2000,2000-07-01,1.011915167279755
2000,2000-08-01,1.0115011623407655
2000,2000-09-01,1.0139108962808303
2000,2000-10-01,1.0141038464550394
2000,2000-11-01,1.015529502532622
2000,2000-12-01,1.0189796609494213
2001,2001-01-01,1.0168257361398156
2001,2001-02-01,1.0190394150531807
2001,2001-03-01,1.0167044461235315
2001,2001-04-01,1.0167085197420551
2001,2001-05-01,1.0163997352966792
2001,2001-06-01,1.0179234424890473
2001,2001-07-01,1.017348697138472
2001,2001-08-01,1.016737295774301
2001,2001-09-01,1.0202674536027256
2001,2001-10-01,1.0185041495888842
2001,2001-11-01,1.018972645328424
2001,2001-12-01,1.020626423021989
2002,2002-01-01,1.017947917278565
2002,2002-02-01,1.018241052777151
2002,2002-03-01,1.0163258916077618
2002,2002-04-01,1.0147133354072402
2002,2002-05-01,1.0146008021211201
2002,2002-06-01,1.0170298560817963
2002,2002-07-01,1.016356734598431
2002,2002-08-01,1.016962972032054
2002,2002-09-01,1.018660589162015
2002,2002-10-01,1.0184277594754068
2002,2002-11-01,1.0201564604895978
2002,2002-12-01,1.0204317747326417
2003,2003-01-01,1.0192404220742082
2003,2003-02-01,1.019875763370786
2003,2003-03-01,1.0170134698624602
2003,2003-04-01,1.0171208766912876
2003,2003-05-01,1.0179240084164722
2003,2003-06-01,1.0177234565634932
2003,2003-07-01,1.017265440070312
2003,2003-08-01,1.0176859987613427
2003,2003-09-01,1.0171311183896434
2003,2003-10-01,1.0160000906423985
2003,2003-11-01,1.0186545572569699
2003,2003-12-01,1.0166325538897047
2004,2004-01-01,1.0163383043667702
2004,2004-02-01,1.0173029189184049
2004,2004-03-01,1.0135948436730546
2004,2004-04-01,1.013679073266872
2004,2004-05-01,1.0161848145591867
2004,2004-06-01,1.0156657089835104
2004,2004-07-01,1.0156441813852202
2004,2004-08-01,1.015595304312688
2004,2004-09-01,1.016929827901418
2004,2004-10-01,1.0180038670641818
2004,2004-11-01,1.0176412341708463
2004,2004-12-01,1.0174557570740708
2005,2005-01-01,1.0160282028200298
2005,2005-02-01,1.0179883949352861
2005,2005-03-01,1.0142437344960327
2005,2005-04-01,1.0146441469258973
2005,2005-05-01,1.014782388754404
2005,2005-06-01,1.0155424893834502
2005,2005-07-01,1.0167798072296248
2005,2005-08-01,1.0155515366793655
2005,2005-09-01,1.0178550825587442
2005,2005-10-01,1.019051225768493
2005,2005-11-01,1.020734698839278
2005,2005-12-01,1.0193134076232835
2006,2006-01-01,1.0169086669581384
2006,2006-02-01,1.017085839220919
2006,2006-03-01,1.013386600062577
2006,2006-04-01,1.0160490481979898
2006,2006-05-01,1.0152294009802294
2006,2006-06-01,1.0153171165834507
2006,2006-07-01,1.0160150820596574
2006,2006-08-01,1.0161989044366135
2006,2006-09-01,1.01754089857119
2006,2006-10-01,1.0168461157891202
2006,2006-11-01,1.0178047236382923
2006,2006-12-01,1.0200469026013421
2007,2007-01-01,1.017589480714242
2007,2007-02-01,1.0185141132782423
2007,2007-03-01,1.015662714603088
2007,2007-04-01,1.0162638745254367
2007,2007-05-01,1.0168377641482356
2007,2007-06-01,1.018158396183497
2007,2007-07-01,1.0181360156046
2007,2007-08-01,1.017837852007665
2007,2007-09-01,1.0223737972298155
2007,2007-10-01,1.0211896459627947
2007,2007-11-01,1.0213214845575267
2007,2007-12-01,1.0227962054421234
2008,2008-01-01,1.0217858751838593
2008,2008-02-01,1.0203114067945425
2008,2008-03-01,1.019356298749945
2008,2008-04-01,1.0203175813767211
2008,2008-05-01,1.0202603479321748
2008,2008-06-01,1.0217877715928645
2008,2008-07-01,1.0222415741414665
2008,2008-08-01,1.0256122469209725
2008,2008-09-01,1.026864291543226
2008,2008-10-01,1.027169042449364
2008,2008-11-01,1.032844765770084
2008,2008-12-01,1.0318863444785535
2009,2009-01-01,1.0311036108024683
2009,2009-02-01,1.0306403580278192
2009,2009-03-01,1.026152794443538
2009,2009-04-01,1.0270259092244682
2009,2009-05-01,1.0288303812462714
2009,2009-06-01,1.0284980881665033
2009,2009-07-01,1.0284494657248686
2009,2009-08-01,1.0339531365680816
2009,2009-09-01,1.0340132769306114
2009,2009-10-01,1.0332967863569678
2009,2009-11-01,1.0338872433459818
2009,2009-12-01,1.032678957992735
2010,2010-01-01,1.033926391376819
2010,2010-02-01,1.032239512253441
2010,2010-03-01,1.0256651648807502
2010,2010-04-01,1.024772285485984
2010,2010-05-01,1.0268591480355456
2010,2010-06-01,1.0277891905449967
2010,2010-07-01,1.028425207243012
2010,2010-08-01,1.0298596626274241
2010,2010-09-01,1.0318958893229717
2010,2010-10-01,1.0327733283060483
2010,2010-11-01,1.0314392908266343
2010,2010-12-01,1.0305180791333888
2011,2011-01-01,1.0304583800103582
2011,2011-02-01,1.0294564638200772
2011,2011-03-01,1.0243163887744942
2011,2011-04-01,1.025017148095074
2011,2011-05-01,1.0250389708884948
2011,2011-06-01,1.025697725220996
2011,2011-07-01,1.0277069291688585
2011,2011-08-01,1.0268872731529268
2011,2011-09-01,1.0269753177425225
2011,2011-10-01,1.0271857338123034
2011,2011-11-01,1.0280411940719765
2011,2011-12-01,1.0279617357179496
2012,2012-01-01,1.0265536800203547
2012,2012-02-01,1.0244631418083714
2012,2012-03-01,1.021945868029732
2012,2012-04-01,1.0219175390770168
2012,2012-05-01,1.0218890781492513
2012,2012-06-01,1.0232641994774805
2012,2012-07-01,1.0230470854596856
2012,2012-08-01,1.0229426164555546
2012,2012-09-01,1.0270228295305157
2012,2012-10-01,1.0247671823741422
2012,2012-11-01,1.0250196450199562
2012,2012-12-01,1.0260091110073977
2013,2013-01-01,1.025122677492513
2013,2013-02-01,1.025094537619046
2013,2013-03-01,1.0233483178549962
2013,2013-04-01,1.0214049487448238
2013,2013-05-01,1.0211055280763293
2013,2013-06-01,1.0244018619845758
2013,2013-07-01,1.0231830459674258
2013,2013-08-01,1.0238959172636568
2013,2013-09-01,1.024710362820013
2013,2013-10-01,1.0248022017400398
2013,2013-11-01,1.0267334622959123
2013,2013-12-01,1.0268470043670426
2014,2014-01-01,1.0254920992478402
2014,2014-02-01,1.0246333543791988
2014,2014-03-01,1.0217483504253337
2014,2014-04-01,1.0218279399546408
2014,2014-05-01,1.0218146094940637
2014,2014-06-01,1.0219091201804595
2014,2014-07-01,1.0212719940488864
2014,2014-08-01,1.02267935375131
2014,2014-09-01,1.0214069517909625
2014,2014-10-01,1.019671369024041
2014,2014-11-01,1.022713606777504
2014,2014-12-01,1.0203443884756234
2015,2015-01-01,1.020192576825163
2015,2015-02-01,1.019578736243007
2015,2015-03-01,1.0160251025576834
2015,2015-04-01,1.0161050498794724
2015,2015-05-01,1.0176817366109439
2015,2015-06-01,1.0174956846793304
2015,2015-07-01,1.0165714688369947
2015,2015-08-01,1.01748803219411
2015,2015-09-01,1.0181548903644875
2015,2015-10-01,1.0177484366115617
2015,2015-11-01,1.018686055408547
2015,2015-12-01,1.018136215336559
2016,2016-01-01,1.0198924866912553
2016,2016-02-01,1.0171639696990264
2016,2016-03-01,1.0152731479078025
2016,2016-04-01,1.0161974029865164
2016,2016-05-01,1.0161343214034526
2016,2016-06-01,1.016657720459221
2016,2016-07-01,1.0181109961167099
2016,2016-08-01,1.0168618429604988
2016,2016-09-01,1.0171760468196225
2016,2016-10-01,1.0175415410928073
2016,2016-11-01,1.0181198990559481
2016,2016-12-01,1.0181460494543517
2017,2017-01-01,1.0170544248773041
2017,2017-02-01,1.0174166387442645
2017,2017-03-01,1.013989600811288
2017,2017-04-01,1.016976035042988
2017,2017-05-01,1.0153204738490185
2017,2017-06-01,1.0155166484340379
2017,2017-07-01,1.0160873307891332
2017,2017-08-01,1.016343591198658
2017,2017-09-01,1.0194082094904728
2017,2017-10-01,1.0212757743078265
2017,2017-11-01,1.0241129536745042
2017,2017-12-01,1.0242184227294395
2018,2018-01-01,1.0188562916771864
2018,2018-02-01,1.0186325172837813
2018,2018-03-01,1.0151586764717817
2018,2018-04-01,1.014334287238541
2018,2018-05-01,1.0140618025122308
2018,2018-06-01,1.0151766490526453
2018,2018-07-01,1.0145728099084559
2018,2018-08-01,1.014314375365028
2018,2018-09-01,1.0175211337852936
2018,2018-10-01,1.0158478928900212
2018,2018-11-01,1.0165275141509484
2018,2018-12-01,1.0167089379887395
2019,2019-01-01,1.0161614351718307
2019,2019-02-01,1.01726027854978
2019,2019-03-01,1.0156818411559574
2019,2019-04-01,1.0143382058881283
2019,2019-05-01,1.0160835007495408
2019,2019-06-01,1.0179000155719677
2019,2019-07-01,1.015698789397077
2019,2019-08-01,1.0165744382216584
2019,2019-09-01,1.0157913780280137
2019,2019-10-01,1.0146087398616417
2019,2019-11-01,1.0157840209641051
2019,2019-12-01,1.0153112856677549
2020,2020-01-01,1.0134453274308992
2020,2020-02-01,1.0144096377563325
2020,2020-03-01,1.0154048355843208
2020,2020-04-01,1.0393189088177226
2020,2020-05-01,1.0708187890813718
2020,2020-06-01,1.0895970280134968
2020,2020-07-01,1.041258072538822
2020,2020-08-01,1.0124123319775882
2020,2020-09-01,1.0057276530136148
2020,2020-10-01,1.002737687735339
2020,2020-11-01,1.0017788085424713
2020,2020-12-01,1.000525728744376
2021,2021-01-01,0.9995032260505461
2021,2021-02-01,1.0006820448322713
2021,2021-03-01,0.996383241877561
2021,2021-04-01,0.9962233085158734
2021,2021-05-01,0.9981017997808954
2021,2021-06-01,0.9976611268266062
2021,2021-07-01,0.9984927441442447
2021,2021-08-01,0.9986480158674145
2021,2021-09-01,1.000512166209406
2021,2021-10-01,1.0024583615955391
2021,2021-11-01,1.0032315410990862
2021,2021-12-01,1.0037923793600647
2022,2022-01-01,1.0043184432601857
2022,2022-02-01,1.0065754696898035
2022,2022-03-01,1.005027333650498
2022,2022-04-01,1.0060631612714033
2022,2022-05-01,1.0062628817876322
2022,2022-06-01,1.0067483450702295
2022,2022-07-01,1.0079552080734773
2022,2022-08-01,1.0076826961873746
2022,2022-09-01,1.0079722100927178
2022,2022-10-01,1.0094348925675318
2022,2022-11-01,1.010259818387926
2022,2022-12-01,1.0107901048522314
2023,2023-01-01,1.009607498302635
2023,2023-02-01,1.0109434816418807
2023,2023-03-01,1.0082349892541924
2023,2023-04-01,1.0102357295235214
2023,2023-05-01,1.00932988843268
2023,2023-06-01,1.0099570240545166
2023,2023-07-01,1.0107358682709282
2023,2023-08-01,1.0107281019398116
2023,2023-09-01,1.0119948442262672
2023,2023-10-01,1.0120117279004779
2023,2023-11-01,1.0126390235133267
2023,2023-12-01,1.0140104815583304
2024,2024-01-01,1.012120003913112
2024,2024-02-01,1.0125569733183746
2024,2024-03-01,1.011680563344582
2024,2024-04-01,1.0112832560233749
2024,2024-05-01,1.0110112423215019
2024,2024-06-01,1.014125635912352
2024,2024-07-01,1.0134259971439956
2024,2024-08-01,1.0131056363604478
2024,2024-09-01,1.0140516604614025
2024,2024-10-01,1.013775099474965
2024,2024-11-01,1.0158101537028552
2024,2024-12-01,1.0156556680972368
