property_state,total_current_balance
CA,492128122808
TX,213623519125
FL,197026769068
NY,127398706380
IL,108972739550
WA,108035566236
NJ,101497799193
VA,101344919379
CO,91861687465
AZ,87536876553
GA,86140957832
PA,85660279812
MA,85169841631
NC,83775234391
OH,79085845503
MD,75906919166
MI,71049226490
MN,60968361486
OR,56028724677
TN,52410877890
UT,51912897562
IN,46868974701
MO,43371296968
SC,40302221349
WI,38493471411
NV,33479414855
CT,33411051571
AL,26434964763
KY,25710740849
LA,23248351719
ID,20058678577
OK,18419105442
KS,16973618981
IA,16374022982
NH,15798031333
AR,14286841851
HI,13483306057
DE,11899427095
NM,11103729720
ME,10952386788
DC,10692506446
NE,10687598641
MT,9794631102
RI,9379886544
MS,8071783259
VT,5779984216
WV,5640496976
AK,5477382637
ND,4767244927
SD,4663868121
WY,3903199487
PR,949569174
GU,543817903
VI,310911867
,0
