current_loan_delinquency_status,risk_adjusted_yield
0,4.85
1,4.74
10,22.92
100,70.55
101,86.58
102,62.14
103,70.27
104,61.65
105,82.08
106,67.01
107,72.17
108,77.75
109,91.54
11,23.74
110,71.04
111,66.88
112,76.27
113,67.02
114,70.46
115,81.86
116,51.25
117,74.22
118,44.62
119,45.82
12,24.9
120,47.98
121,72.68
122,52.52
123,104.58
124,78.07
125,54.64
126,63.61
127,70.94
128,97.98
129,73.81
13,25.8
130,64.16
131,94.86
132,97.94
133,24.57
134,66.74
135,63.97
136,151.94
137,63.88
138,82.09
139,62.09
14,26.19
140,31.65
141,51.35
142,45.24
143,33.59
144,11.81
145,6.75
146,73.34
147,54.13
148,29.45
149,85.06
15,27.89
150,65.47
151,34.61
152,113.08
153,6.19
154,91.91
155,12.3
156,53.93
157,95.63
158,81.07
159,32.11
16,28.69
160,75.37
161,268.36
162,70.36
163,110.96
164,5.72
165,7.0
166,133.46
167,88.19
168,76.03
169,30.06
17,30.73
170,151.36
171,5.92
172,128.17
173,51.51
174,137.91
175,18.93
176,6.18
177,6.42
178,124.79
179,19.55
18,31.7
180,10.9
181,21.07
182,5.75
183,6.06
184,5.98
185,6.56
186,103.8
187,38.19
188,6.79
189,6.32
19,32.1
190,6.62
191,6.31
193,6.38
196,6.25
197,6.88
198,5.75
199,6.25
2,6.15
20,33.94
21,33.95
22,34.66
23,36.17
24,36.78
25,39.23
26,38.8
27,39.89
28,41.34
29,40.83
3,6.81
30,40.22
31,41.65
32,42.52
33,42.85
34,44.0
35,44.01
36,44.66
37,44.42
38,46.98
39,47.0
4,8.91
40,46.69
41,48.92
42,48.8
43,48.34
44,49.94
45,52.18
46,50.39
47,52.25
48,52.36
49,53.75
5,11.35
50,51.55
51,53.86
52,54.36
53,58.85
54,58.74
55,58.04
56,57.35
57,57.9
58,59.71
59,62.01
6,14.37
60,62.82
61,65.36
62,67.19
63,66.53
64,62.65
65,73.52
66,67.0
67,68.52
68,71.98
69,74.92
7,17.7
70,75.23
71,74.8
72,73.01
73,74.97
74,76.22
75,76.46
76,77.93
77,84.88
78,86.91
79,83.7
8,19.89
80,80.13
81,91.7
82,86.67
83,84.45
84,86.06
85,84.25
86,87.93
87,91.66
88,90.87
89,90.23
9,21.45
90,79.7
91,93.14
92,88.57
93,91.93
94,83.96
95,101.4
96,77.82
97,85.07
98,83.25
99,67.88
RA,52.13
