vintage_year,modification_rate
1999,0.0
2000,0.0009996852808974775
2001,0.002655905781622039
2002,0.003793586482100001
2003,0.004206063890535925
2004,0.0034094812170382275
2005,0.003624752430939594
2006,0.0062319603210820715
2007,0.00520176237879306
2008,0.015440854511211636
2009,0.027659855842775274
2010,0.07588836062804886
2011,0.05515197645809186
2012,0.036308935090713194
2013,0.04655306349325348
2014,0.039896650192134606
2015,0.03310886264902622
2016,0.024313674004381978
2017,0.019448301332584354
2018,0.03166339575609259
2019,0.016912704525350306
2020,0.011374105979755342
2021,0.012930492735911417
2022,0.026214189085535175
2023,0.012769901674418428
2024,0.014832583098135956
