year,zero_balance_code,count
1999,96,46
1999,02,1
1999,01,6083
1999,99,2972343
2000,09,61
2000,03,24
2000,01,45836
2000,96,308
2000,99,10957213
2000,02,21
2001,01,525389
2001,03,121
2001,99,24398401
2001,02,115
2001,96,1004
2001,09,553
2002,96,2998
2002,01,1085322
2002,99,48044423
2002,03,309
2002,02,402
2002,09,2107
2003,99,68124657
2003,03,514
2003,02,830
2003,01,2380724
2003,96,5421
2003,09,5090
2004,96,5065
2004,99,82011274
2004,09,7627
2004,02,1098
2004,01,1212717
2004,03,689
2005,96,1733
2005,09,8419
2005,02,1277
2005,03,565
2005,01,1069463
2005,99,87117670
2006,99,93347729
2006,96,1943
2006,01,751923
2006,03,562
2006,02,1394
2006,09,8088
2007,99,98805728
2007,01,725247
2007,96,1016
2007,03,736
2007,02,1663
2007,09,8796
2008,03,2435
2008,09,13327
2008,96,2575
2008,02,1701
2008,01,788919
2008,99,105733074
2009,09,24397
2009,01,1639702
2009,02,3227
2009,03,8339
2009,99,110905194
2009,96,4688
2010,09,41658
2010,03,17965
2010,02,7931
2010,96,9828
2010,01,1702833
2010,99,114820011
2011,09,49948
2011,02,10131
2011,01,1500375
2011,99,113812374
2011,96,9726
2011,03,22195
2012,02,13014
2012,01,2195011
2012,09,47970
2012,96,9003
2012,99,109130921
2012,03,28445
2013,02,7061
2013,99,108288044
2013,96,7092
2013,01,1722103
2013,09,40171
2013,03,20658
2014,03,9230
2014,02,11080
2014,15,1452
2014,99,109646272
2014,09,35931
2014,96,4375
2014,01,965112
2015,09,17819
2015,99,111915007
2015,96,1926
2015,03,6663
2015,15,9630
2015,01,1211301
2015,02,12789
2016,02,8886
2016,01,1404903
2016,96,1742
2016,15,8727
2016,03,4655
2016,99,114239332
2016,16,2815
2016,09,12814
2017,02,5887
2017,01,1165894
2017,16,14902
2017,96,2136
2017,15,1539
2017,03,2967
2017,09,9425
2017,99,117105783
2018,15,2993
2018,99,119402994
2018,03,1676
2018,01,1053205
2018,16,32824
2018,96,2394
2018,09,7534
2018,02,4617
2019,96,3060
2019,16,44500
2019,15,901
2019,99,122908632
2019,03,1153
2019,02,3580
2019,01,1340291
2019,09,6801
2020,02,1359
2020,16,34844
2020,01,2881210
2020,09,3918
2020,15,3076
2020,03,785
2020,99,128236149
2020,96,5012
2021,16,22937
2021,02,1304
2021,09,1345
2021,03,426
2021,96,7811
2021,01,2911025
2021,15,4888
2021,99,142644097
2022,16,9339
2022,01,1229007
2022,99,154119302
2022,96,9351
2022,09,1108
2022,03,206
2022,02,1708
2022,15,34
2023,16,3815
2023,99,157046857
2023,01,752205
2023,03,232
2023,02,2334
2023,09,1717
2023,96,7087
2023,15,2160
2024,02,1900
2024,96,4969
2024,01,838486
2024,03,256
2024,09,1859
2024,15,1026
2024,99,158797967
2024,16,8803
